#{"t_start": 1751639313.1085398, "env_id": "None"}
r,l,t
48175804.548709,1979,9.974007
128842215.901925,1979,21.976243
145016328.682593,1979,33.649948
36691368.658252,1979,45.036319
35652734.57637,1979,56.573437
93731823.225819,1979,70.143013
266509064.840893,1979,81.406393
25787517.316657,1979,92.73678
282676170.677338,1979,104.310216
16967263.358787,1979,116.974477
134597277.547862,1979,132.188471
28479798.347764,1979,145.026141
44728783.816474,1979,157.498646
17484025.069335,1979,169.857969
96340017.663754,1979,182.841537
26325034.886578,1979,197.634699
49932936.617482,1979,210.253142
227264169.309866,1979,222.960566
119250524.86727,1979,236.022352
3430990.396713,1979,247.416643
40342000.783838,1979,261.083548
18376445.828564,1979,272.558432
121818485.63644,1979,283.937784
131151165.485116,1979,295.464412
9709657.881422,1979,306.941043
171079095.281289,1979,320.298362
179115603.239673,1979,332.208547
62267522.342078,1979,343.486279
31628484.639464,1979,354.886473
202385387.172287,1979,364.100481
152136096.112001,1979,377.958038
53668202.829659,1979,390.013364
433950566.22161,1979,401.656183
3959921.247696,1979,413.679461
8527808.52831,1979,425.082235
187046209.800375,1979,438.340574
550523889.623047,1979,449.82701
13429045.431794,1979,461.301205
45396736.171414,1979,472.690964
25067732.902581,1979,484.572232
41130652.817028,1979,497.977222
68229891.010996,1979,511.007776
50254956.538058,1979,523.043002
52337782.307761,1979,534.328401
63442193.824758,1979,546.036904
132945033.069543,1979,559.565437
152058820.895603,1979,571.587702
13651373.254918,1979,582.825752
100702891.728222,1979,594.115727
245875971.794269,1979,605.473775
