#{"t_start": 1751741006.6847405, "env_id": "None"}
r,l,t
18429.841712,1955,13.193079
17790.189426,1955,29.74292
18519.027412,1955,43.899768
17422.413521,1955,59.350436
18796.677939,1955,73.882484
17229.894921,1955,91.39983
18547.783117,1955,106.367875
17229.374606,1955,123.037934
17624.650565,1955,137.201951
18418.164912,1955,151.4332
17350.334087,1955,169.763015
18250.911139,1955,187.119578
18064.282073,1955,203.055249
18798.325104,1955,219.376464
17484.849595,1955,236.72053
17399.628696,1955,256.744692
17997.762229,1955,274.749675
17113.554618,1955,292.863035
17238.666696,1955,312.636927
18585.496495,1955,329.791622
17396.991268,1955,350.553246
17661.373781,1955,367.859416
17775.082905,1955,382.084378
17773.468834,1955,397.552887
17821.750716,1955,414.988419
18756.586868,1955,433.187059
17790.250408,1955,448.559821
17266.206627,1955,464.076459
18127.525411,1955,479.501703
18840.276896,1955,494.580022
18181.153804,1955,511.787922
18827.187103,1955,526.318879
17371.456762,1955,541.763694
18164.365794,1955,555.997208
18807.374187,1955,570.370609
17874.581748,1955,586.998832
18908.499971,1955,601.558367
18553.926496,1955,616.425379
17905.242687,1955,630.821057
18859.451905,1955,645.147658
18799.069336,1955,661.914049
18840.094825,1955,676.621892
18436.459548,1955,691.010609
18504.936886,1955,705.627382
18883.554204,1955,716.663
17948.598757,1955,732.115946
18782.993244,1955,749.780783
18831.032745,1955,766.259976
18218.725992,1955,784.82176
17577.146873,1955,802.418984
18402.82047,1955,817.614414
18831.900658,1955,835.294673
18708.050221,1955,849.935418
17910.731406,1955,864.361532
18849.385673,1955,878.844765
18810.608249,1955,893.238816
17368.176386,1955,911.689439
18864.737201,1955,927.355911
17655.48896,1955,941.882309
18182.681333,1955,956.258129
18307.034965,1955,970.786669
18407.34902,1955,988.287962
18370.952185,1955,1002.76741
18856.946357,1955,1018.001293
17494.121871,1955,1034.841571
18737.389612,1955,1049.366144
18328.209096,1955,1062.401439
18838.013371,1955,1076.736895
18853.535492,1955,1091.707293
17718.356563,1955,1107.064627
18850.712227,1955,1122.170636
18936.675133,1955,1139.540367
18846.513781,1955,1155.08198
18676.060924,1955,1169.300568
17902.308989,1955,1184.561936
18875.800579,1955,1198.876226
18788.531469,1955,1216.306496
18340.830602,1955,1231.260166
18744.469231,1955,1245.510491
18827.200519,1955,1260.37754
18827.147116,1955,1274.752547
18808.411735,1955,1293.450811
18902.110591,1955,1310.190914
18106.040324,1955,1327.513535
18877.891533,1955,1343.708515
18853.558209,1955,1358.935156
18870.990444,1955,1377.690822
18983.357254,1955,1392.667411
18795.012777,1955,1407.093478
18425.87562,1955,1425.774573
18280.801352,1955,1442.999839
18925.587526,1955,1459.564236
18140.486761,1955,1478.071596
18831.328222,1955,1494.698007
17598.485168,1955,1509.574639
18909.045578,1955,1525.134393
18958.836597,1955,1541.074292
