#{"t_start": 1754416779.1067498, "env_id": "None"}
r,l,t
-16264.237745,1950,41.804099
-16746.868208,1666,80.466592
-18248.86774,1950,115.318586
-17757.715114,1950,152.505362
-17557.630894,1950,190.310718-1-14490.863966,1950,318.355613
-16881.304554,1950,370.624322
-17900.804575,1950,417.958535
-17115.372923,1950,467.65875
-14876.466739,1950,519.064602-1-15061.061329,1950,660.338171
-15553.404489,1950,704.932724
-17349.731935,1950,750.201475
-13744.905108,1566,787.916068
-15410.978644,1950,833.37401-14-14211.65832,1950,994.992266
-16546.904212,1950,1054.348542
-13386.593925,1950,1109.197256
-14724.400297,1950,1157.123878
-15533.462889,1950,1204.42881-11-14414.873115,1950,1361.587201
-17954.779422,1950,1407.092096
-17267.782519,1950,1453.379243
-14552.680269,1950,1494.858442
-17369.500946,1950,1535.6484-127-16272.641506,1950,1666.447807
