#{"t_start": 1751900546.4424717, "env_id": "None"}
r,l,t
-472.536631,1985,45.087154
-551.640887,1985,89.302265
-636.079391,1985,168.122376
-800.001891,1985,224.925312
-669.645691,1985,268.781019
-529.296821,1985,335.633724
-537.52397,1985,379.468365
-740.92665,1985,446.695442
-735.415322,1985,491.700319
-790.073469,1985,535.883537
-649.417281,1985,609.797948
-573.455798,1985,699.125661
-515.181539,1985,788.595674
-790.074789,1985,863.114779
-769.159874,1985,925.355307
-912.567966,1985,1019.544585
-657.040506,1985,1079.661098
-644.859595,1985,1174.217063
-481.600887,1985,1237.949781
-569.863525,1985,1298.550935
-813.048239,1985,1394.7226
-711.441392,1985,1456.183903
-716.263725,1985,1552.395029
-870.348829,1985,1599.125818
-742.053785,1985,1644.915486
-771.521166,1985,1717.481515
-1013.17245,1985,1769.927072
-1017.441222,1985,1843.530859
-924.318756,1985,1889.619095
-863.55077,1985,1935.840773
-794.221353,1985,2009.119925
-808.727655,1985,2063.913726
-898.043648,1985,2139.974998
-867.635402,1985,2190.216741
-932.176079,1985,2235.760543
-1098.162233,1985,2306.999704
-1019.99046,1985,2353.372039
-1019.333041,1985,2424.894691
-978.867006,1985,2471.909067
-938.348959,1985,2517.969528
-879.670588,1985,2589.099258
-918.432292,1985,2634.786189
-964.416223,1985,2705.506127
-971.372407,1985,2751.021343
-1058.353745,1985,2795.902772
-974.152362,1985,2866.971341
-950.54371,1985,2912.615472
-777.740746,1985,2983.527317
-823.748378,1985,3029.742354
-799.799435,1985,3074.947029
-596.778562,1985,3145.5213
-751.345096,1985,3192.189394
-747.484102,1985,3263.943656
-726.328292,1985,3312.406896
-786.730069,1985,3359.486754
-774.879816,1985,3429.845029
-765.195104,1985,3488.323763
-722.702415,1985,3566.785663
