#{"t_start": 1752008647.325863, "env_id": "None"}
r,l,t
-785.365691,1930,64.446409
-2683.209464,1930,142.918323
-3116.093736,1930,199.15118
-3807.018445,1930,260.662268
-4466.609848,1930,317.86625
-4997.651531,1930,376.590263
-5340.528648,1930,437.522308
-5419.262929,1930,493.66782
-5275.001153,1930,549.943564
-5215.166169,1930,613.615416
-5297.566585,1930,671.839335
-5429.490031,1930,727.63744
-5541.406293,1930,782.984157
-4821.713997,1649,829.751057
-2.777868,1,829.804992
-2.599617,1,829.857651
-2.642043,1,829.905034
-2.858179,1,829.959782
-2.822309,1,830.018422
-2.848461,1,830.067943
-2.711607,1,830.116994
-2.505978,1,830.164893
-2.840965,1,830.219002
-2.812201,1,830.27649
-2.894377,1,830.324601
-2.674278,1,830.374272
-2.607585,1,830.423664
-2.595817,1,830.478706
-2.951494,1,830.532927
-2.841306,1,830.583083
-2.620817,1,830.635773
-2.657796,1,830.684319
-2.68477,1,830.739015
-2.849256,1,830.792927
-2.673045,1,830.842679
-2.948451,1,830.902492
-2.749949,1,830.949223
-2.918794,1,830.996759
-2.628886,1,831.048224
-2.86835,1,831.108082
-2.749046,1,831.162839
-2.514183,1,831.21125
-2.888648,1,831.260752
-2.707492,1,831.316817
-2.714381,1,831.370865
-2.656205,1,831.4189
-2.728805,1,831.467847
-2.676834,1,831.514058
-2.922687,1,831.572043
-2.770598,1,831.628744
-2.693341,1,831.682588
-2.825457,1,831.734566
-2.689793,1,831.788189
-2.738703,1,831.834686
-2.648977,1,831.88577
-3.018606,1,831.932567
-2.649293,1,831.989166
-2.715296,1,832.04235
-2.701656,1,832.088806
-2.736958,1,832.14863
-2.914795,1,832.205138
-2.91988,1,832.252278
-2.761884,1,832.298931
-2.665189,1,832.351097
-2.820064,1,832.399821
-2.771133,1,832.456174
-2.735785,1,832.505713
-2.7708,1,832.555384
-2.609617,1,832.615262
-2.737507,1,832.676062
-2.703556,1,832.749843
-2.807263,1,832.813212
-2.625693,1,832.867661
-2.715767,1,832.918736
-2.737725,1,832.967811
-2.593626,1,833.012696
-2.758685,1,833.075143
-2.866848,1,833.130664
-2.797627,1,833.179739
-2.796444,1,833.229874
-2.668069,1,833.288658
-2.837099,1,833.357604
-2.761861,1,833.412127
-2.686304,1,833.459644
-2.713018,1,833.507238
-2.848492,1,833.560261
-2.980638,1,833.613965
-2.692962,1,833.665676
-2.574931,1,833.7168
-2.596241,1,833.769395
-2.914692,1,833.82975
-2.907804,1,833.877128
-2.706028,1,833.921657
-2.994446,1,833.992408
-2.774908,1,834.044696
-2.693131,1,834.09183
-2.715269,1,834.138646
-2.847285,1,834.200468
-2.780968,1,834.250959
-2.700445,1,834.303469
-2.821574,1,834.349066
-2.724481,1,834.397914
-2.802141,1,834.46086
-2.719991,1,834.517046
-2.7837,1,834.559626
-2.826054,1,834.616424
-2.768407,1,834.666444
-2.863117,1,834.720448
-2.946961,1,834.768436
-2.566906,1,834.825019
-2.772426,1,834.87692
-2.793441,1,834.928186
-2.680716,1,834.986411
-2.874295,1,835.034266
-2.817108,1,835.091173
-2.907125,1,835.145942
-2.827818,1,835.210607
-2.839559,1,835.256485
-2.736213,1,835.302532
-2.57906,1,835.356196
-2.842727,1,835.414492
-2.81546,1,835.463722
-2.746652,1,835.514173
-2.951805,1,835.565027
-2.857998,1,835.620503
-2.765721,1,835.670828
-2.660709,1,835.718731
-2.71124,1,835.767376
-2.831156,1,835.815732
-2.595624,1,835.874159
-2.790139,1,835.923642
-2.880864,1,835.969458
-2.471209,1,836.020108
-2.724912,1,836.080081
-2.806519,1,836.129027
-2.947941,1,836.176283
-2.644592,1,836.230286
-2.804301,1,836.283056
-2.627249,1,836.336068
-2.645213,1,836.385116
-2.821763,1,836.436321
-2.576453,1,836.489034
-2.808692,1,836.544997
-2.767298,1,836.591782
-2.64519,1,836.64169
-2.840176,1,836.700278
-2.668015,1,836.753125
-2.696996,1,836.800241
-2.697537,1,836.847489
-2.7845,1,836.910844
-3.050112,1,836.962728
-3.006847,1,837.008914
-2.64321,1,837.054065
-2.848656,1,837.113426
-2.872775,1,837.170868
-2.678853,1,837.21516
-2.818073,1,837.266425
-2.682883,1,837.317337
-2.558641,1,837.368971
-2.853039,1,837.427101
-2.709329,1,837.48417
-2.779804,1,837.530247
-2.610761,1,837.57947
-2.636567,1,837.631658
-2.88351,1,837.681114
-2.663608,1,837.735147
-2.611281,1,837.789827
-2.817029,1,837.843342
-2.726974,1,837.901516
-2.672456,1,837.959679
-2.822144,1,838.014734
-2.802993,1,838.07084
-2.749532,1,838.125818
-2.768087,1,838.183978
-2.699788,1,838.245553
-2.613958,1,838.293887
-2.726392,1,838.342957
-2.539748,1,838.390237
-2.747964,1,838.442816
-2.804602,1,838.495181
-2.775903,1,838.547908
-2.716494,1,838.596643
-2.663285,1,838.652412
-2.555234,1,838.701792
-2.732525,1,838.751476
-2.892179,1,838.798385
-2.694947,1,838.845721
-2.653922,1,838.902332
-2.665793,1,838.953943
-2.979766,1,839.002782
-2.702678,1,839.052256
-2.895485,1,839.113023
-2.709213,1,839.167326
-2.727281,1,839.215259
-2.658977,1,839.263292
-2.757441,1,839.315236
-2.714813,1,839.376225
-2.714432,1,839.425256
-2.85949,1,839.47516
-2.787151,1,839.52214
-2.863999,1,839.582453
-2.739241,1,839.630781
-2.784529,1,839.680927
-2.836523,1,839.730467
-2.743798,1,839.800843
-2.924797,1,839.862722
-2.751256,1,839.91181
-2.64812,1,839.964267
-2.827066,1,840.016122
-2.69341,1,840.068301
-2.742117,1,840.126687
-2.62263,1,840.176941
-2.7464,1,840.228828
-2.620081,1,840.291604
-2.654308,1,840.347783
-2.802885,1,840.395253
-2.589856,1,840.448827
-2.688478,1,840.51149
-2.739867,1,840.560609
-2.862526,1,840.608929
-2.704532,1,840.663112
-2.743664,1,840.714623
-2.807363,1,840.766232
-2.780126,1,840.820839
-2.67752,1,840.872142
-2.73463,1,840.926301
-2.767399,1,840.97809
-2.742739,1,841.031646
-2.808248,1,841.080064
-2.695664,1,841.131514
-2.531902,1,841.184543
-2.862443,1,841.23584
-2.790185,1,841.283163
-2.638266,1,841.334246
-2.782569,1,841.39362
-2.702439,1,841.44629
-2.755738,1,841.495461
-2.675005,1,841.55289
-2.610495,1,841.605521
-2.800597,1,841.667695
-2.768324,1,841.711962
-2.70592,1,841.760352
-2.609115,1,841.815644
-2.883496,1,841.864316
-2.913818,1,841.918094
-2.829728,1,841.964319
-2.847247,1,842.015419
