timestamp,open,high,low,close,volume,quote_volume
2025-02-20,2.8,3.477,2.8,3.443,9908.24,32963.39862
2025-02-21,3.449,3.564,3.229,3.274,54741.92,188079.74425
2025-02-22,3.26,3.57,3.259,3.397,17063.74,57235.55284
2025-02-23,3.416,3.645,3.198,3.351,10021.87,33436.6309
2025-02-24,3.376,3.511,2.82,2.831,22813.58,70766.84082
2025-02-25,2.81,3.006,2.561,2.957,120142.86,335560.9213
2025-02-26,2.949,3.082,2.749,2.857,26204.39,75670.83364
2025-02-27,2.889,2.966,2.757,2.787,24703.29,71231.91179
2025-02-28,2.781,2.855,2.527,2.828,61283.2699249,161250.065657744
2025-03-01,2.822,2.916,2.785,2.818,12474.89,35336.61683
2025-03-02,2.813,3.251,2.794,3.22,33326.96,102118.5644
2025-03-03,3.193,3.193,2.588,2.62,21088.8,60782.26973
2025-03-04,2.606,2.646,2.258,2.534,48195.07,116775.76265
2025-03-05,2.528,2.79,2.443,2.637,27006.76999884,68386.8027969144
2025-03-06,2.628,3.003,2.59,2.738,45896.8,129748.30801
2025-03-07,2.73,2.992,2.561,2.572,77647.43,212746.57715
2025-03-08,2.579,2.627,2.478,2.478,17100.56,43230.14344
2025-03-09,2.476,2.521,2.224,2.289,18265.79,42568.36449
2025-03-10,2.287,2.447,2.07,2.089,57402.78,122962.83766
2025-03-11,2.114,2.307,1.979,2.236,75150.0,156882.79955
2025-03-12,2.224,2.371,2.178,2.288,75935.66,171041.78816
2025-03-13,2.286,2.335,2.116,2.163,5950.56,13280.77099
2025-03-14,2.169,2.383,2.163,2.323,14461.3,33168.01487
2025-03-15,2.319,2.428,2.301,2.348,26257.29,61704.71301
2025-03-16,2.351,2.359,2.203,2.225,9550.4,21752.59463
2025-03-17,2.25,2.38,2.24,2.38,12210.68,28365.34565
2025-03-18,2.383,2.383,2.221,2.285,8119.77,18520.19697
2025-03-19,2.278,2.499,2.278,2.475,22822.12,54495.37703
2025-03-20,2.483,2.496,2.343,2.343,13206.05,32092.91912
2025-03-21,2.359,2.367,2.229,2.248,9978.73,22708.19622
2025-03-22,2.247,2.318,2.235,2.252,9475.29,21669.07945
2025-03-23,2.257,2.298,2.172,2.288,33741.82,75253.41357
2025-03-24,2.288,2.456,2.264,2.395,35627.04,85077.23081
2025-03-25,2.392,2.486,2.339,2.455,21864.2,52762.46126
2025-03-26,2.46,2.86,2.442,2.616,49611.82,130026.70028
2025-03-27,2.625,2.866,2.616,2.783,51952.4,142411.04881
2025-03-28,2.781,2.793,2.467,2.506,37818.6,97518.1561
2025-03-29,2.499,2.544,2.224,2.316,38756.14,90498.59053
2025-03-30,2.308,2.456,2.277,2.351,23459.38,55415.99699
2025-03-31,2.344,2.356,2.186,2.26,46339.19,103532.84033
2025-04-01,2.276,2.525,2.254,2.4,75981.39,182042.87944
2025-04-02,2.396,2.554,2.198,2.306,52109.43,123925.33129
